"","Var1","Freq"
"1","며느리",170
"2","관람객",135
"3","영화",132
"4","시어머니",84
"5","결혼",77
"6","생각",73
"7","남편",67
"8","여자",49
"9","공감",47
"10","사람",43
"11","진영",41
"12","문제",39
"13","하게",36
"14","현실",33
"15","감독",28
"16","아들",28
"17","이상",28
"18","고부갈등",27
"19","행복",26
"20","가족",25
"21","^ㅋ",23
"22","해서",22
"23","부부",21
"24","엄마",21
"25","우리",21
"26","이야기",21
"27","진짜",21
"28","관계",20
"29","유쾌",20
"30","재밌게",20
"31","상영관",19
"32","이해",19
"33","들이",18
"34","건강",17
"35","남자",17
"36","시댁",16
"37","하인",16
"38","부분",15
"39","여성",15
"40","자신",15
"41","하기",15
"42","^ㅎ",14
"43","고부간",14
"44","마지막",14
"45","마음",13
"46","사회",13
"47","세상",13
"48","시대",13
"49","응원",13
"50","중간",13
"51","집안",13
"52","누구",12
"53","사랑",12
"54","사이",12
"55","와이프",12
"56","자기",12
"57","^ㅋ^ㅋ^ㅋ",11
"58","다큐",11
"59","모습",11
"60","어른",11
"61","입장",11
"62","잘못",11
"63","가부장제",10
"64","강요",10
"65","관람",10
"66","내용",10
"67","본인",10
"68","사람들",10
"69","아내",10
"70","용기",10
"71","재미",10
"72","가정",9
"73","각자",9
"74","남자들",9
"75","모두",9
"76","문화",9
"77","어머니",9
"78","주인공",9
"79","결말",8
"80","독립",8
"81","명절",8
"82","시간",8
"83","시부모",8
"84","시작",8
"85","친구",8
"86","평점",8
"87","해결",8
"88","그녀",7
"89","극장",7
"90","다행",7
"91","답답",7
"92","대한",7
"93","부모님",7
"94","소리",7
"95","시부모님",7
"96","얘기",7
"97","역할",7
"98","인간",7
"99","인생",7
"100","장면",7
"101","제목",7
"102","최고",7
"103","추천",7
"104","피해자",7
"105","감사",6
"106","고부",6
"107","과정",6
"108","관람객너무",6
"109","그것",6
"110","눈물",6
"111","당연",6
"112","많은",6
"113","매력",6
"114","목소리",6
"115","민국",6
"116","부모",6
"117","부인",6
"118","불쌍",6
"119","불행",6
"120","서로",6
"121","세대",6
"122","시아버지",6
"123","재밌고",6
"124","전화",6
"125","짜증",6
"126","평범",6
"127","^ㅎ^ㅎ",5
"128","감정",5
"129","고모",5
"130","권리",5
"131","김진영씨",5
"132","남성",5
"133","당신",5
"134","대사",5
"135","사실",5
"136","상황",5
"137","솔직",5
"138","스토리",5
"139","시원",5
"140","씁쓸",5
"141","자식",5
"142","주변",5
"143","캐릭터",5
"144","필요",5
"145","한번쯤",5
"146","화이팅",5
"147","확실",5
"148","가치관",4
"149","개봉",4
"150","경제",4
