"","reviews","points"
"1","본격 퇴사 권장 영화ㅋㅋㅋ  ","10"
"2","관람객달지 않은데 단맛이 나고 짜지 않은데 짠맛이 나는 그런 영화!  ","10"
"3","나도 쉬고싶다.  좋은 친구들과  작은숲에서  ","10"
"4","힘든길을 멀리 달려온 청춘에게 조금이나마 힐링을 주는 영화 김태리 류준열 케미 좋다  ","10"
"5","요즘 영화들처럼 억지로 웃음을 강요하지 않고 이 영화는 소소한 일상 속 우리가 그냥 지나쳤던 행복들을 알려주었다. 김태리의 해맑고 귀여운 모습과 류준열의 미소와 다정함은 겨울이 끝나가는 이 시점에 봄의 따스함이 다가오고 있다는 것을 느끼게 해준다.  ","10"
"6","오랜만에 힐링을 하고 왔다. 배우들이 실제 친구처럼 케미가 아주 좋았다. 냇가에서 혜원(태리)과 재하(준열)의 씬들이 매우 인상적이어서 기억에 남는다.  ","10"
"7","관람객류준열같은 남자사람친구 없는 사람 나야나  ","10"
"8","마음의 위로를 받고 싶을 때 오래오래 꺼내보고 싶은 영화.  ","10"
"9","오랜만에 눈도 마음도 편안하게 즐길수 있는 영화였다. 음식도 부담스럽지 않게 먹음직해 보였고 세 친구로 나온 배우들의 케미도 좋았다. 남사친 류준열은 깨알웃음과 설렘을 준다.  ","10"
"10","심적 허기는 채워고 배는 고파지는 영화.  소장해서 팍팍할때마다 꺼내보면 비타민 역할 톡톡히 할 그런 영화.  ","10"
"11","재밌어요 근데 공복금지 필수  ","10"
"12","시사회때 봤는데, 잔잔할 거라고만 생각했는데 생각보다 더 밝고 잼나더라구요. 영화보는 내내 미소 지을 수 있고, 끝난 뒤 마음이 따뜻해지는 영화더라구요. 꼭 보세요. 강추합니다  ","10"
"13","관람객요즘 시대를 사는 사람들이 보면 좋을 마음 편안해지는 힐링 영화였다  ","10"
"14","휴식같은 영화를 만났다 포근한 자연속에 담긴 세친구의 어울림을 보고나니 나도 모르게 엄마미소  ","10"
"15","류준열과 김태리, 나는 충무로의 미래를 확인하고 오는 길이다.  ","10"
"16","보고나면 기분좋아지는 영화!! 그냥 말이 필요없어요 힐링받고 나옴ㅋㅋ 배우들도 너무 좋고 오구도 귀엽고 사계절이 너무 이쁘게 담겨있어요 배고픔주의!! 재하 화이팅! 리틀포레스트 화이팅?  ","10"
"17","관람객자극적이고 폭력적인 세상을 살아가는 우리들에게 꼭 필요한 영화. 깨끗해진 느낌..  ","10"
"18","진짜 오랜만에 보는 힐링영화 근데 웃기기도하고 재미도있다 볼거리도 많고 잘만든영화  ","10"
"19","도시에서는 실감하기 어려운 계절의 변화를 만끽할 수 있겠네요.  류준열, 김태리, 진기주의 자연스러운 연기와 케미도 기대됩니다.  ","10"
"20","애써 위로하지 않아도 위로가 되는 영화  ","10"
"21","관람객이 영화 뭐지... 러닝타임 내내 행복했다  ","10"
"22","&#34;뛰던 걸 멈추고 잠깐 쉬어가라&#34;고 말한다. 참 좋다.  ","10"
"23","위로 치유 힐링 이런 단어가 떠오르면서 미소짓게 되는 영화 세 친구의 케미도 좋았다  ","10"
"24","류준열 김태리 출연만으로도 볼 가치가 있는 영화 곧 보러갑니다  ","10"
"25","힐링영화!! 이런저런 복잡하고 어지러운 일상과 생각에 힘들었는데, 눈도 마음도 편해졌어요. 입맛당기는 음식들까지 모두모두 힐링입니다. 영화 강추!!! 입니다.  ","10"
"26","류준열 멋지다 응원합니다  ","10"
"27","이영화는 의미없이 그저 흘러가고 있다고 생각하며 살았던 나를 환기시켜주었다. 마지막까지 슬며시 웃음짓게 만들었다.  ","10"
"28","관람객겨울날 먹는 수제비,  여름날 먹는 콩국수 같은 영화다  ","10"
"29","&#34;그렇게 바쁘게 산다고 문제가 해결이 돼?&#34;라는 말이 나에게 비수처럼 날아와 꽂혔다.  ","10"
"30","단발로 끝나지 않고 나를 돌아보게 하는 여운을 가진, 사계절의 흐름대로 그저 편안하게 볼 수 있는 영화입니다.  ","10"
"31","관람객정답을 강요하지 않아서 너무 편안하고 힐링됐다. 내가 살아가는 방법이 정답이지 뭐!! 좋은 영화 만들어주셔서 감사합니다 :)  ","10"
"32","힐링영화 보는내내 미소지으며 봤어요 N차각  ","10"
"33","관람객힐링하러갔는데 퇴사하고 싶어졌다ㅋㅋ 여유없이 살다보니 주위 챙기는건 고사하고 내 건강도 못챙기는 상황이었는데 영화를 보면서 과연 이게 나를 위한 삶인가 되돌아보는 시간이었던 것 같다. 지친 청춘들이 꼭 봤으면.  ","10"
"34","마음의 평화. 잔잔하게 쉬다 나오는 내 집같은 영화.이런 영화도 있어야죠. 힐링무비 만들어 주신 감독님 연기해 준 배우들 감사합니다.덕분에 아름다운 4계절 오롯이 느끼고 건강한 음식들 눈으로 귀로 잘 먹고 그 안의 메세지 마음에 잘 담고 갑니다.  ","10"
"35","관람객영화 보고나니 잠시 쉬어가도 괜찮을 것 같다는 용기가 생김  ","10"
"36","관람객&#34;추운 겨울이 있어야 곳감을 맛있게 먹을수 있다.&#34;내게도 어김없이 추운 겨울이 인생에 찾아올때...꺼내볼 영화임은 분명했다... 그때 정말 가슴따뜻한 위로가 되기를... 젊고 재능있는 찬란한 배우들 참 예쁘다...  ","8"
"37","관람객돈주고 본 영화인데...위로받긴 처음..토닥토닥. .그냥 좋다~  ","10"
"38","아주 시기적절하게 잘 나온 영화 요즘처럼 시끄럽고 지치는 일상에 작정하고 힐링하겠다며 보러갔지만 내심 잠이나 푹자고 오지 않을까 걱정했는데 왠걸 템포도 빠르고 스토리도 현실적이라 완전 집중했어요 억지 집중이 아닌 편안한 집중. 무조건 소장각입니다  ","10"
"39","관람객영상미 미쳐따ㅠㅠㅠㅠ사계절 풍경 너무 예쁘고 음식도 너무 맛있어보여서 배고파짐!! 본격 귀농 장려 영화ㅋㅋㅋ  ","10"
"40","이런 한국영화가 많이 만들어지길...따뜻하고 힐링이되는 영화  ","10"
"41","관람객나도 혜원,재하,은숙 같은 친구가 있었으면 좋겠다 r  ","10"
"42","류준열배우 좋아해서 그냥 좋네요  ","10"
"43","관람객보기만 해도 싱그러운 세사람이 맛있는걸 먹으면서 속깊은 이야기를 나눈다... 그 자체로 힐링인 영화!! 볼 것 없는 극장가에서 유일한 선택이 될듯!  ","10"
"44","관람객청춘을 위한 영화! 아침부터 진짜 리얼 힐링 되는 시간이었다. 세 배우의 캐미 진짜 너무 좋으네요!  ","10"
"45","사계절이 가는게 아쉬웠던 영화, 오랜만에 참 좋은 영화를 만난 느낌이다.  ","10"
"46","관람객와 진짜 보는 내내 배우들 세명 개그코드 공감되서 웃었다가 또 고민도 공감되서 먹먹해지고..힐링된다는게 진짜였구나  ","10"
"47","관람객탄산수같은 영화!! 너무 재미있었요! 이런 영화가 자주 나왔음 좋겠어요!  ","10"
"48","관람객잠시 이렇게 쉬어가는 것도 좋은 것 같다. 따뜻하게 잘 봤어요  ","10"
"49","관람객요즘 자극적인 영화에 지쳐있던 나에게 힐링을 준 영화. 우리 모두에게 따뜻한 봄이 왔으면!  ","10"
"50","관람객ㅠㅠ아침부터 힐링된다 마음이 평화로워진다 정말  ","10"
"51","관람객진짜 이거 보면 마음의 때가 씻어내려가는 느낌이네요. 봄여름가을겨울 사계절도 볼 수 있고 마치 제가 여행와서 보는 듯한 느낌이 드는 편안한 영화였어요~  배우들의 케미도 굿굿!  ","9"
"52","관람객며칠 편안히 휴가 다녀온 기분이 드는 영화 였음 ㅎㅎ  ","10"
"53","관람객김태리, 류준열, 진기주 이 세명의 캐미가 정말 톡톡(입안에 터지는 가루사탕)같았네요. 일본영화와 유사하지는 않을까 걱정했는데, 이것은 완전 다른 영화인듯해요. 정말 영화가 끝났을때 힐링이 된듯한 느낌을 받았어요~^^ 퇴사해야되나..  ","10"
"54","관람객영화보는 103분 동안의 휴가, 힐링을 만끽...잔잔한 울림이 더 클 수 있다는 걸 깨달은 시간  ","10"
"55","관람객지금 나에게 꼭 필요한 영화인 것 같다. 배우들의 케미도 좋고..  ","10"
"56","관람객자극적이고 잔인하고 그런영화들이 판치는 요즘 이렇게 잔잔하고 따뜻한 힐링영화를 보니좋네요. 굵직한 갈등없이 전개되는이야기, 사계절 풍경으로 잔뜩 리프레쉬 되었답니다^-^  ","9"
