"","reviews"
"1","BEST과연 누가 이사람들에게 도덕적 잣대를 들이댈 수 있을까?메릴스트립의 연기는 말할 것도 없지만, 마지막 차에서 문고리를 잡아당기는 씬의 섬세한 감정묘사는 정말 잊지 못한다. 이십대의 로맨스보다 더 조마조마하고 짜릿히다.  "
"2","BEST스무살때 이 영화를 봤지만 제대로 이 느낌들을 이해하지 못하고 답답하다 생각했었다. 삼십대 후반이되어 이 영화를 다시 만나고보니 가슴 절절하고 뜨거운 눈물이...명작이네  "
"3","BEST책임있는 이별을 했기에 아름다울수 있는 사랑.  "
"4","BEST&#34;이렇게 확실한 느낌은 일생에 단 한번 오는 거요&#34;  "
"5","BEST솔직히 정말 진부한 영화중 하나이겠거니 하고 다운받아놓고서도 몇년을 미루다 오늘 괜시리 끌리기에 믿져야본전 하고 봤다 그런데 헐.....나를 이리 애달프고 슬프게 만들다니. 솔직히 말하자면 막판은 난 그냥 계속 엉엉 울었다 뭣때문인진몰르겠지만..  "
"6","결혼 혹은 함께하는 삶만이 사랑을 이루는 길은 아닌지도 몰라  "
"7","마지막 자동차 씬은 진짜... 눈물이 펑펑 터짐... 초록불이 됐는데도 프란체스카를 기다리는 로버트와 문고리를 잡았지만 열지 못하는 프란체스카 ㅠㅠ 그리고 노트에 쓰인 말 중 &#39;평생을 너희들에게 바쳤으니 내 마지막은 로버트에게 바치고 싶구나&#39;도 감동  "
"8","일생을 못잊으면서 서로 아니 만나고 살기도 한다..  "
"9","""내인생을가족에게받쳤으니 내마지막은 로버트에게받치고싶다""  "
"10","분명 그들의 행동엔 잘못이 있지만, 평생 단 한 번 느낄 수 있는 사랑을 따라갈 수 없는 그 안타까움은 충분히 공감된다. 여기엔 메릴 스트립의 연기가 큰 도움을 주었다.  "
"11","로맨스는 젊은사람들의 전유물이 아니란것..  "
"12","빗속에서  우두커니 서있을때  어떤  감정일지... 눈물을 펑펑 쏟은 영화 먹먹하네요  "
"13","4번째로 보니 남자의 인생이 보이네요. 로버트는 더 힘들게 애잔함을 견디며 추억속에 살았을것같네요. 외롭지 않다는 그의 말...모두를 사랑한다는 그의 말...결국 그도 한 사람 그리며 한 사람만 사랑하네요  "
"14","오늘은 제 생일이죠  95년에 개봉한 영화를 오늘에서야 봅니다  영화 한편으로 오늘 생일이란 것이 더 기분이 좋습니다. 17살이 아닌 34살인 지금 보게되서 다행입니다.  클린트이스트우드 당신의 영화는 감동적이네요  곧 헤어질 애인이 행복했으면 합니다  "
"15","↓진정한 사랑은 결혼 후에 생기는 것이아니지요. 언제 찾아올지 모르는 것입니다. 몇몇 분들이 불륜의 정당화라고 하셨는데, 남자분들 남편에게만 감정이입하진 말아주셨으면 좋겠습니다. 유부녀와 사랑에 빠지는 것 역시 남자입니다.  "
"16","이별이 그들의 사랑을 완전하게 만들었다.  "
"17","이영화를 본후에 2003년 미국 연수중 실제로 메디슨 카운티를 찾아가서  다리 에서 주인공 처럼 사진 찍은 기억이 새삼 나네요! 다시 보아도 좋은 여화라 강추하고싶습니다. ~~  "
"18","많이 울었다. 무엇이 공감되서 마음이 아픈지도 모르겠는데도  "
"19","고전적인 뻔한 멜로인 줄 알았다가,  뜻하지 않게 여운이 진하게 남는 감동을 받았네요. 삶이란... 사랑이란... 인간이란... 가족이란... 이런 저런 생각을 하게 해주는,  말그대로 걸작입니다  "
"20","난 영화에서의 연기는 대개 연출이나 스토리, 배우의 이미지에 의해서 정해진다고 생각하는 편이라 연기에 대해선 회의적인데이 영화는 메릴 스트립의 연기가 거의 전부라 해도 될 정도로 정말 뭐 이렇게 연기를 잘하나 싶었다..  "
"21","최고의 수작..결국 사랑을 이루기 위해서 살아가는게 아닐까..  "
"22","확실한 감정을 내 평생에 느껴볼수 있을지? 프란체스카가 부럽다 .  "
"23","비오는날 마주쳤을때..내가 메릴이었으면 그 손잡이를 끝까지 돌리고 문을 열었을지도...  "
"24","할 얘기가 있소. 한가지만.다시는 말하지 않을거요. 누구에게도. 그리고 당신이 기억해 줬으면 좋겠소.애매함으로 둘러싸인 이 우주에서 이런 확실한 감정은 단 한번만 오는거요 몇번을 다시  살더라도 다시 오지 않는 거요 . 소재를떠나최고의사랑영화입니다..  "
"25","이런 사랑하시는분 있으신가요  "
"26","오래전봤는데 가슴이먹먹했던기억이있다.내가본로맨스영화중최고인듯.  "
"27","아....100점만점에 100점  "
"28","16년만에 다시본 영화!그땐 이루지 못한 사랑에 마음이 아팠는데 30대중반이 넘어선 지금, 아름답게 간직하고 사랑의 힘으로 살아갈 수 있다는 것이 정말 감동적이였다.최고의 영화!!!  "
"29","15년전이나 지금이나 빗속씬은 여전히 그대로다 두배우만으로 영화가 꽉찬느낌  "
"30","비를 맞으며 서있는 클린트이스트우드의 모습이 정말 잊혀지지가 않는다  "
"31","많은것을 생각하게 해준 영화. 정말 감동했습니다.  "
"32","명작은 이런 영화를 보고 말하는것이다.  문고리를 잡고 열듯말듯 고민하는 그 장면의 연기는 정말 최고의 감정연기였다  "
"33","젊은 이들의 사랑보다 100배 아름다운 중년의 사랑!  "
"34","지금 옆에 있는 사람에게 꿈을 잃지 않도록 최대한 배려하자.절대 외도하지 않게.  "
"35","비오는 교차로 씬에서 폭발하는 절대 잊혀지지 않을 명작.  "
"36","매순간 찾아올지 모르는 일생의 아름다운 그 한 사람을 놓치지 마라.  "
"37","나도 일생에 이런 감정 한번만 왔으면 좋겠다!  "
"38","들어는봤지만 보진못했었다 어느날 kbs에서 해줘서 조금보고선 불륜이네했다 그리고 끝까지보고나선 180도바뀐나의생각 저둘에겐 또 이영활본사람들은 아름다운사랑이라할것이다 나또한그렇다 결혼이란어쩌면 족쇄일지도 부부가사랑은식어도 끊임없이 노력해야 하는것같다  "
"39","가슴아프지만 아름다운 한 편의 시.. 스트립과 이스트우드의 연기가 놀랍다  "
"40","20대에 개봉관에서 봤을땐 그나이의 불타는 감성으로 이루어질수 없는 사랑에 초점을 두고 작열하는 고통과 함께 소설같은 아름다운 사랑이야기라고 느꼈다. 마흔중반에 다시 본 이 영화는 나에게 완전히 다른 이야기를 들려준다. 삶을 지탱하는 모든 종류의 사랑  "
"41","20대가 감상한 중년의 로맨스... 전혀 거부감이 들지 않았다  "
"42","사랑에는 책임감이 뒤따른다. 그리고 책임감에는 사랑이 뒤따른다.  "
"43","뭐 이렇게 연기를 잘하나 싶네...메릴 스트립  "
"44","두 배우의 명연기의 박수를  "
"45","더이상 사랑이란 주제가 내게 아무런 감흥을 주지 못한다고 생각했는데몇 년만에 이렇게 가슴이 먹먹하고 울리는지...  "
"46","아무말도 하고싶지않다..  "
"47","볼때마다 운다.  "
"48","내 일생에 한번이라도 느낄 수 있을까  "
"49","지금 행복한 결혼생활을하고있어도 이 영화의 사랑은 이해할수있다  "
"50","서른이 넘어서야..그 마음을 헤아릴수 있게되었네요  "
"51","여태껏  로그인을 하면서까지 평점을  남긴건  이 영화가 처음이다.. 여운이 너무 강렬한 영화..  "
"52","너무나 좋아하는 배우와 감독의 만남!  "
"53","필요한 순간에 제 맘 깊숙히 파고들수 있는 영화였습니다. 가슴이 너무 먹먹해지네요..  "
"54","이영화가 사랑받는것이 이해가 됩니다.. 백프로 정답의 삶을 사는 사람은 실은 그리 많지 않으니까요.. 사랑하는 사람이 있어도 인내하고 가정을 지키는거죠 ..  "
"55","나는 누군가를 행복하게 해주고 있는 걸까...  "
"56","정말 지금까지 본것중 가장 아름답고 슬픈 사랑영화였다.. 이프온리 미안~  "
"57","클린트 이스트우드의 거의 유일한 멜로영화 + 심장을 쥐어짬. 추천X100000  "
"58","행복해져라 인생은 아름다운 것이 너무나 많다  "
"59","단순히 불륜을 말한다면 영화다시보세요..천천히 / 유회를 뿌려주는 자식들이 포인트  "
"60","비오는날 떠나가는 앞차의 룸미러.. 그리고 꼭 잡고 있는 차의 손잡이. 13년전 봤었다  "
"61","불륜이지만 슬프고 음악과어우러지는 영상이 아름답다  "
"62","생각하면서 보았다 ... 내가 늙었을때 ..  다시한번보고 싶은영화  "
"63","일생에 단 한번 뿐인 느낌. 나에게도 허락될까.  "
"64","고전은 이런 것  "
"65","인생은 한번뿐...  "
"66","프렌체스카가 모든걸 다 버리고로버트를 따라갔다면..과연 영원히 행복 했을까?  "
"67","이거보고 불륜미화니 어쩌니 하는것들 영화를 대충본게 아니라면 지가 연애못해서 피해의식에 쩌들은 인생패배자들이지. 이런애들이 결혼하면 오히려 부부관계가 오래못감. 마음에서 우러나는 사랑이 아닌 결혼이란 법적족쇄를 달고 살게 될테니  "
"68","이루어질 수 없어서 애틋한 사랑이 아닐까?  "
"69","보고 또 보고  또 다시 보고싶어지는 영화 사랑이란 도대체 뭘까?  "
"70","20대에 봤을땐 답답함이  가득한 영화였지만...30대에 보니  공감과 많은 생각을 가져다준 영화..  "
"71","정말너무감동한영화ㅠㅠ  "
"72","먹먹하다.영화를 본후 어디를 가도 무엇을 먹든 나는 현실로 돌아오기가 쉽지 않았다.  "
"73","나이들고 다시 보고싶네. 메릴스트립의 연기가 정말 아름다움.  "
"74","진정한 사랑이란게 일생에 한번만 찾아오는 것일까?  운명적으로 이루어질 수 없는 사랑이 있다는게 마음 아프다.  "
"75","연기가 아니고 실제같다 두 연기지존들이 큰 일 하나 해냈네 개인적으로 클린트 이스트우드 목소리 정말 좋드라  "
"76","보는 내내 눈물을 참을 수가 없었던, 내 평생 잊지 못할 영화,  "
"77","내 가슴이 이렇게 먹먹하고 아픈데, 두 사람은 어땠을까.. 맘이 너무 아파..  "
"78","절대 이해할 수 없을 줄 알았는데 이해하게 되더라  "
"79","불륜이라고는 하지만 다들 공감하잖아..현실에서는 모두 부정적으로 보지만...ㅋ  "
"80","볼 때마다 느낌이 달라지는 영화. 메릴 스트립의 연기는 단연코 압권.  "
"81","명작  "
"82","순간 순간을 온몸으로 소중히 살아야겠다.  "
"83","여운이 남는 기억에 오래남는 영화  "
"84","도저히 9점을 줄 수가 없다. 뭔 말이 더 필요하랴?  "
"85","클린트이스트우드 비맞는 장면.......뇌리에서 잊혀지지않는 아련함.  "
"86","영화가 끝난뒤 그 아릿한 감정이 새어나갈까봐 오래 붙들어놓고 싶었다.  "
"87","관람객너무나 가슴아픈 아름답고 성숙한 사랑을 지켜낸 두 사람에게  뜨거운 박수를 보냅니다두 배우의 눈빛과 숨결, 표정들이 나를 영화의 현장 속으로 완전히 몰입시켜 내가 그 아픈 사랑으로 몸살을 앓고 있는듯했다  "
"88","불륜을 얘기하는 것이 아니다. 유년의 여성을 이해할 수 있어야 한다.  "
"89","난아직도모르겠다. 무엇이 사랑이고 무엇이 불륜인건지. 하지만아름답다는건분명하다  "
"90","관람객중년의 친구들이 여행 다녀온후 여독을 풀고자 보았던 영화였다.눈을 흘리며 감동 받으며 보았던 중년 여자의 인내..결말은 주변 가족들의 행복이다.재개봉해 기뻤던 가슴 따듯했던 영화였다.  "
"91","클린트 이스트우드, 메릴 스트립.  두 명의 연기는 모두 완벽했다.  다만 이스트우드가  너무 늙었다는 것,  그의 나이가 65세였으니 메릴 스트립과 거의 25년 차이...  할아버지와 중년 여성의 로맨스인 셈.  그래도 본인이 감독이니 주연욕심낫겠지  "
"92","내가 하면 로맨스 남이 하면 불륜이라는 인식을 &#44704;워주는 영화  "
"93","관람객영화의 엔딩음악과 자막이 멈출때까지 가슴깊이 저미는 먹먹함을 주체할수 없어 가늘게 흘러내리는 눈물을 흠쳐내느라 자리를 뜰수가 없었다. 인간의 내면을 솔직하게 드러낸 프란체스카의 유언장. 그 누가 불륜의 잣대를 드리울수가 있겠는가!  "
"94","관람객10년전에 보고 두번째인데 그때와는 또 다르게 다가오는 대사들. 10년뒤에 다시 보고 싶음  "
"95","인생에 몇 안 되는 99점 영화...  "
"96","결혼은 의무이자 책임이 뒤따르는거지만 사랑까지 뒤따르라는 법은 없지. 우린 인생을 너무 교과서처럼 살아오는건 아닌지도 모르겠다. 이걸 외도라고 표현한다면 그사람은 정말 좁은 우물안에서만 살고 있는건지도 모른다.  "
"97","여자로서의 삶을 포기할 수 밖에 없었던...  "
"98","늦게나마 이 영화를 알게해준분께 감사하고 내용에 대해 평들이 갈리지만 개인적으로 아름다운 영화임에 틀림없네요  "
"99","내가 엄마가 되고 나니 이해할수 있는 영화  "
"100","보고나면 한 동안 그 여운에서 헤어나오기 힘든 영화...  "
"101","사랑은 아픈거랬다..하지만 그들의 4일간의 사랑은 인생에서 가장 뜨거웠다.  "
"102","한 순간의 찾아온 나흘간의 사랑. 엄마가 아닌 여자이고 싶은...  "
"103","본멜로중가장가슴이아픈작품 메릴스트립이비속에서갈등할때의음성이너무나 인상깊었다  "
"104","아픈사랑.. 너무 좋은 영화 ㅠㅠ  "
"105","마지막 비오는 장면에서 소름이 돋았다..여운이 길게 남을 듯  "
"106","표현못할 최고의 사랑이야기..그리고 메릴스트립  "
"107","그 확실한 감정이 인생의 후반기에 왔다는것 뿐  "
"108","감히 평을 논할 수 없는 작품..  "
"109","메릴스트립의 대사 하나하나가 너무나도 와닿는다..  "
"110","역시 거장 답다. 거장이 만들면 불륜도 로맨스가 되는구나.  "
"111","결혼하고 다시보니 보는 내내 눈물만 흐릅니다  "
"112","킨케이드와 베로니카가 그 낯선 사랑을 아름답다고 확신한 그 순간. 그녀가 선택했던 젊은 날의 아름다운 사랑은 아름답지 않은 것이 되어 버렸다. 나는 낯선 사랑이 아닌 지금 우리들이 누리는 아름답고 특별한 일상의 사랑을 응원하고 싶다.  "
"113","관람객결혼10년차 지금 다시보게된 이영화보는내내 눈물이 절로흘러내렸답니다모든대사하나하나가 깊이 공감되며나와 엄마들의 이야기이네요  "
"114","그녀는 평생 가족을 지킴으로써 사랑을 지킬 수 있었다. 그런 그녀의 마지막은 그토록 간절했던 로버트에게...  "
"115","섬세한 감정선. 펑펑 울게한 영화. 재개봉 기다리고 있습니다.  "
"116","내가 20대 때 나온 이 영화를 보고는 보는 내내 하품만 했다. 그리고 그 동안 인생의 여러가지 일을 겪으면서 다시 본 이 영화는 보는 내내 장면 하나 하나, 대사 하나하나가 내 가슴을 후벼 팠다. 메마른 내 눈물을 다시금 흐르게 만든 영화다.  "
"117","로맨스 영화계의 마라도나  "
"118","소설보다 낫다고 느낀 것은 아름다운 배경 때문만은 아니었다. 메릴 스트립의 연기가 좋은 영화가 될 뻔한 걸 명작으로 만들었다.  "
"119","조마조마하고 아슬아슬한  그 떨림과 섬세함으로 기억될 명작.  "
"120","내 20대, 흔해빠진 불륜 내용이겠지 하는 의구심을 갖고 본 영화. 결국엔 나도 모르게 눈물을 쏟으며 보고 있었다. 안타깝기도 하고 참 시그러운 영화다. 인생이 이런건가 싶다.  "
"121","가슴 저미는 소중한 마음...  "
