"","reviews"
"1","BEST이런 영화를 보고나면 한국영화의 수준이 돈 때문인것 만은 아닌걸 느끼네요  "
"2","BEST평식이형 8점 영화는 1년에 한번 나올까 말까입니다. 꼭보세요  "
"3","BEST제발 개ㅈ도 재미없는 한국영화좀 몇개내리고 이런 명작좀 올려라 진짜 간만에 영화다운 영화좀 봤다.  "
"4","BEST처음엔 밀드레드에 몰입되다 점점 멀어져 딕슨에게 몰입되며 보았다. 샘록웰 연기 잘한다 정말  "
"5","BEST죄책감에 분노의 속죄를 분노로 표출하지만 악순환될 뿐, 결국 딕슨이 분노를 분노로 대하지않고 이해와 도움으로 다가설때, 그녀는 처음으로 (쓴)웃음 터트린다.  "
"6","부산에 상영관이 3개밖에 없어요.. 정말 안타깝습니다..  "
"7","훌륭한 각본과 배우들의 명연기에 대사와 음악도 좋다. 롱테이크 창문 씬은 경이로웠고 빨대 꽂힌 오렌지주스에 울컥했다.  "
"8","관람객연기들이 어쩜..ㅠㅠ 캐릭터들이 다 입체적이고 감정선들이 정말 좋았다  "
"9","셰이프 오브 워터랑 쓰리 빌보드를 영화관에서 연속으로 볼 수 있다는 건 진심 축복인듯...  "
"10","감정소모가 좀 있었지만 상황마다 피해자가되고 가해자가되고 선과 악의 선이 모호하고여러모로 많은 생각을 하게 만드는 영화  "
"11","같은 병실로 온 딕슨에게 빨간머리 웰비가 오렌지 주스를 떨리는 손으로 전해주던 장면에서 발견하는 희망과 구원  "
"12","분노와 복수의 이야기 일 줄 알았더니 오묘한 구원과 성찰이 이토록 뒤엉켜있다  "
"13","딸에게 내뱉었던 모진 말때문이였을까? 범인을 잡지 못하는 세상에 분노하는 엄마는 한없이 공격적이고 독살스럽다..그런데 이해하게 되고 응원하게 되더라..딕슨까지도..  "
"14","관람객이게 영화다! 놀라운 연기와 각본! 오랜만에 N차 관람하면서 숨은 의미를 발견할 수 있는 영화를 만나서 행복하다.  "
"15","관람객상영관좀늘려라 이재밌는걸  "
"16","긴 말 필요없이 그냥 진짜 재밌다  "
"17","연출구성이 넘 멋지고.. 엔딩을 생각하게 만들어서 전 더 좋았어요...연기구멍없이..이런게 영화죠..굿입니다 ~!!  "
"18","갠적으론 작품상 쓰리빌보드 주고싶다 연기작살  "
"19","관람객매우 좋았다. 선량한 피해자, 악랄한 가해자라는 단순한 구도 속에 캐릭터를 가두는 게 아니라 매우 입체적으로 인물과 이야기를 다루는 점이 무척 좋았다.  "
"20","보고싶어도 중소도시인 우리동네 극장에는 상영을 안하네!! 이게 우리나라 영화산업의 수준!!!  "
"21","이게 영화다. 신과함께 보면서 토할것같았지만 이 영화를 보며 눈물을 흘리지않을수 없었다.  "
"22","관람객좋은 시나리오, 좋은 배우, 좋은 연출. 진부하지 않아서 좋다  "
"23","단언컨대 올 해 최고의 영화  "
"24","한국영화좀 다쳐내리고 쓰리빌보드 상영관좀늘리셈...  "
"25","오렌지주스에 빨대 꽂아줄때 소름 쫙 그 이후로 모든것들이 바뀌기 시작하는거 같다  "
"26","정말 수준 높은 영화다. 이해하고자 노력을 하는 것 조차 즐거웠다. 할 말은 하나다. 그저 명작이다. 일생 최고의 영화다.  "
"27","샘록웰은 진심 또라이 연기에 최적화된듯 오랜만에 영화다운 영화 본 것 같다  "
"28","관람객입체적인 캐릭터들. 가해자와 피해자의 경계가 희미한... 이런 영화가 상영관이 많이 없는 게 아쉽다  "
"29","영화를 보는 내내 마지막까지 복수를 바랐다. 그 둘이 간절히 바랐던건 복수였으나 결국 절실히 필요했던건 구원이였다. 19살 이쁜 여친한테 잘 해라 이 빌어먹을 전남편놈아  "
"30","진짜 기가 막히게 잘 만들어놨다ㅋ 닥추ㅋ  "
"31","의리?로 천만관객 넘어가는 영화가 줄비찬 나라에 이렇게 훌륭한 작품은 고작 3만명 봤네요. 너무 좋은 각본과 배우들의 훌륭한 연기 정말 좋았습니다. 묵직한 여운을 주는 영화였어요.  "
"32","관람객이 영화는 딸을 죽인 강간범에게 복수하는 주체적인 여성 영화가 아니다. 딸이 죽은 후의 인생을 살아가기 위한 엄마의 영화. 인간이 분노하고 슬퍼하고 복수하는 것은 모두 살기 위한 몸부림이다.  "
"33","관람객너무 완벽해서 뭐라 할 말이 없다. 이럭 게 관객에겐 인생영화 아닐까. 적어도 나에게는.  "
"34","복수는복수를야기한다라고했지만복수는 복수를야기하지않는다는인간의본능적인 선함을좀더느꼈다. 복수의 시작은 무관심이었다. 딕슨도 서장의 진심어린 관심에..엄마도 딕슨의 진심어린 관심에.. 딸또한 엄마의 진심어린 관심을 좀더 느꼈더라면....  "
"35","셰입오브워터같은 클리셰덩어리보단 이만배 낫다  "
