"reviews" "dash" "points"
"1" " &#34;힘겨운 싸움을 하는 모든 이들에게 친절하라.&#34;  " "-" "10"
"2" "아이가 태어 난다면 잭윌 같은 아이로 키우고 싶습니다.  " "-" "10"
"3" "슬퍼서가 아니라 감동적이라 눈물을 흘려본 건 또 처음이다! 최고다!!  " "-" "10"
"4" "관람객진짜 별 기대 없이 본 영화인데 영화가 끝나고 말할 수 없는 감동 받았습니다. 이런 좋은 영화 볼 수 있게 해주신 분들께 감사드립니다. 힘든 고난과 역경을 딛고 꿋꿋하게, 그로인해 많은 사람들에게 영감과 힘을 줄 수 있는 영화 너무 재밌었습니다.  " "-" "10"
"5" "보는 내내 입가엔 미소가, 눈에선 눈물이.. 누구나 한번쯤은 박수받을 자격이 있다는 말에 큰 울림을 느꼈어요 여러모로 참 좋은 이야기. 그저 바라봐주면 돼  " "-" "10"
"6" "신과함께볼 시간에 원더를 두번볼걸 그랬다  " "-" "8"
"7" "개봉전에 극장에서 상영하고 있어 봤는데 정말 꼭 보셔야 할 영화입니다.  " "-" "10"
"8" "위대한쇼맨 도 상영관이 확줄었는데 이영화도 상영관이별로없네 국민들이 미개하여 영화보는수준이 싸구려쓰레기라 아쩔수없는 일이지만 이런 굉장한 영화가 소리소문없이 사라지는 알은 안타까운일다 찹  " "-" "10"
"9" "옳음과 친절함 중에 하나를 택해야 한다면 친절을 택하라  " "-" "10"
"10" "개봉전 CGV핫딜로 먼저 관람했습니다. 플립과 비슷한 감성을 지닌 영화. 여러 인물의 시각에서 보여주는 스토리의 흐름이 훌륭했습니다. 배우들의 연기는 말할것도 없었으며 시간가는줄 모르고 봤습니다. 알차게 채워놓은 영화예요.  " "-" "10"
"11" "추운 날씨 녹여주는 핫코코아 같은 영화였다. 이런 좋은 영화가 더 흥하길!!  " "-" "10"
"12" "원래 영화 잘 안봐서 올해 본 영화 몇개 없지만 그 중 제일 좋았던 영화라고 생각해요. 지루하지도 않았고 감동도 잔잔하게 오지만 그렇다고 애매하게 오지도 않아서 좋았고 많은 분들이 보쎴으면 하는 영화입니다 :)  " "-" "10"
"13" "너무너무 따듯한 영화. &#34;어기가 외모를 바꾸는건 불가능해. 그러니까 우리가 시선을 바꿔야지.&#34; 나였다면 어기의 부모님처럼 할 수 있을까. 잭 윌과 써머처럼 편견을 낮추고 다가갈 수 있을까. 비아처럼 동생을 사랑할 수 있을까.  " "-" "8"
"14" "영화 초반부터 눈물 흘린 적은 거의 없었는데 계속 울었다. 소장하고 있다가 마음이 힘들 때마다 보고싶은 영화였다.  " "-" "10"
"15" "올해 마무리는 위대한쇼맨 , 원더 이걸로 끝내라  " "-" "8"
"16" "예고편보고 개봉하자마자 보러갔는데 진짜 올해영화 BEST3안에든듯.너무따뜻하고좋은내용에 웃긴장면도많고 감동적이고 슬픈장면들이나올때는 계속눈깜박거리면서봄. 영화봐도 평점쓰기귀찮아서 한번도쓴적없는데 이건안쓸수가없음.진짜추천하는영화.책으로도 사서 읽고싶다.  " "-" "10"
"17" "관람객추천합니다 최고였어요ㅠ ㅠ  " "-" "10"
"18" "내 인생의 최고의 영화. 우울하고 음란하고 욕이 많고 폭력적이며 선전성이 강한 한국영화의 정서에서는 찾아볼 수 없는 아름답고 깊은 정서. 너무 아름다운 영화.  " "-" "10"
"19" "이 추운겨울 힐링되고 마음 따뜻해지는 영화였습니다. 영화보는내내 그안에 빠져 행복했어요♥  " "-" "10"
"20" "관람객감동모두 모두  최고였어요  " "-" "10"
"21" "관람객이 영화를 보다가 나도 모르게 눈물이 날 때가 많았습니다. 가족들과 함께 보면 아주 좋을 영화입니다. 실화는 아니지만 장애우들께서 보고 용기를 얻을 수 있는 영화인 거 같구요. 마음이 따뜻해지는 영화입니다. 조금 뻔한 스토리일 수 있지만 추천합니다.  " "-" "8"
"22" "잔잔하니 재밌고 감동적이에요 등장인물들 하나하나가 다 매력있고 스토리있어서 몰입해서봤네요  " "-" "10"
"23" "오늘 봤는데 진짜 최고에요ㅠㅠㅜ 완전 힐링영화!! 꼭 손수건 챙겨가세요!! 올해 일년간 본 영화중에 단연 최고ㅜㅜㅜ 절대 후회안합니다!  " "-" "10"
"24" "꼭보셨음 좋겠어요줄리아로버츠 미소만큼 아름다운영화  " "-" "10"
"25" "누구나 한번쯤은 박수받을 자격이 있다.  " "-" "10"
