"","reviews","points"
"1","웃기고 슬프고 재미있다ㅠㅠ  ","10"
"2","관람객너무 기대했던 영화라 조조로 바로 보고 왔는데 완전 대만족!! 사랑하고 싶게 만드는 봄에 딱 맞는 영화인득  ","10"
"3","오랜만에 만나는 정통 로맨스 영화....보는 내내 웃펐다. 그렇지만 여운도 오래 남는다....  ","10"
"4","관람객눈물 줄줄 흘리면서 봤다. 예진 언니 이런 영화 더 많이 찍어줘요 ㅠㅠㅠ 지섭 오빠도 매력 터지고 배우들 연기부터 풍경, 음악까지 다 좋았음ㅠㅠ!!  ","10"
"5","관람객진짜 소지섭손예진 두 배우 케미쩌네요 ㅠㅠ 보는 내가 다 설레네.. 화이트데이 영화로 최고!  ","10"
"6","원작도 좋았지만 잘 담아낸 것 같다. 멜로 손예진은 진짜 공식인듯..  ","10"
"7","시사회다녀왔는데 개인적으로 한국판이 더 재밌다ㅠㅠ 원작은 잔잔한 느낌이였는데 한국판은 감동과 웃음 두가지가 공존해서 더 좋았음!  ","10"
"8","한국형으로 리메이크가 비교적 잘 된 작품이네요. 마지막  부분에 가서는 더욱 감동적이었습니다. 지금 만나러 갈까요?  ","10"
"9","희한하게 원작에 대한 부심을 갖는 사람들이 꽤 있더라고요. 이런 사람은 안봐야하는데. 그냥 선입견인 게 원작보라해서 보면 또 원작이 그닥 안와닿음. 본인이 색안경을 쓰면서 벗을 줄 모르고 하는 말이죠 뭐. 아마 보는 내내 원작이랑 비교하느라 바빴을걸요  ","10"
"10","관람객역시 봄에는 로맨스! 손예진의 로맨스면 무조건 봐야지ㅜㅜ  ","10"
"11","썸타고 있다면 이 영화를 보길~아름다운 시작이 될듯~! 오랜만에 사랑스럽고 따뜻한 영화였다.  ","10"
"12","왜케 평점이 낮죠ㅠ 전 너무 힐링되었어요ㅠㅠ 원작을 안봐서 그런가...  ","10"
"13","관람객감성 차인가..일본판도 좋고 국내도 좋고 책도 다 좋던데, 일본판처럼 크리티컬 브금이 없는게 아쉽긴 했지만 판타지스런 감성을 채우기에는 부족하지 않았음  ","10"
"14","방금 아내가 원작 책 너무 재미있게 보았다고 해서 같이 봤는데 원작 이런거 모르겠고 영화 스토리배우들 연기 너무 좋았습니다어린이집에 있는 아들 녀석이 생각이 났습니다가족끼리 연인끼리 꼭 보세요 전 매우 만족  ","10"
"15","관람객소지섭 손예진 잘어울린다!!  ","10"
"16","참지마...눈물이 흐를땐 그냥  눈물을 흘려도 돼.  ","10"
"17","관람객이런 멜로 얼마만인지...너무 좋습니다  ","10"
"18","너무 아름답고 가슴이 따뜻해 지는 영화입니다  ","10"
"19","원작 안보고 본 1인입니다.  원작안보고 보면 재밌습니다ㅋㅋ 슬프기만 할줄 알았는데 생각보다 웃음 포인트가 많습니다ㅋㅋ 소지섭도 넘 멋있고 손예직도 넘 이쁘게 나옵니다^^ 같은 영화관에 있던 사람들은 다들 웃으며 잘보았습니다ㅋ  ","8"
"20","13년전에 나온 원작이랑 비교하기엔 무의미한 것 같고 한국형 멜로+코믹요소를 잘 섞어서 잘 만든 것 같네요  ","10"
"21","난 재밌던데. 손예진 소지섭 케미 좋습니다. 아역도 굿  ","10"
"22","무엇보다도 음악차이가 컸다.  ","6"
"23","많이 웃고 울었습니다ㅠㅠ  ","10"
"24","왜 베댓의 작성시간은 개봉날 9시 1분  2분 3분 인가 알바들 출근하자마자 작성한 시간인가? 조조도 시간안했을 시간이고 조조영화 상영중이었을 시간일텐데 .. 알바를  쓰더라도 좀 티 안나게 좀 쓰시길 바랍니다.  ","6"
